23:53:28.092 [main] INFO  mylog - 第0次取出的数据:justtest
23:53:28.093 [main] INFO  mylog - 第1次取出的数据:justtest
23:53:28.093 [main] INFO  mylog - 第2次取出的数据:justtest
23:53:28.093 [main] INFO  mylog - 第3次取出的数据:justtest
23:53:28.094 [main] INFO  mylog - 第4次取出的数据:justtest
23:53:28.094 [main] INFO  mylog - 第5次取出的数据:justtest
23:53:28.094 [main] INFO  mylog - 第6次取出的数据:justtest
23:53:28.094 [main] INFO  mylog - 第7次取出的数据:justtest
23:53:28.094 [main] INFO  mylog - 第8次取出的数据:justtest
23:53:28.094 [main] INFO  mylog - 第9次取出的数据:justtest
23:53:28.094 [main] INFO  mylog - 第10次取出的数据:justtest
23:53:28.094 [main] INFO  mylog - 第11次取出的数据:justtest
23:53:28.094 [main] INFO  mylog - 第12次取出的数据:justtest
23:53:28.094 [main] INFO  mylog - 第13次取出的数据:justtest
23:53:28.094 [main] INFO  mylog - 第14次取出的数据:justtest
23:53:28.095 [main] INFO  mylog - 第15次取出的数据:justtest
23:53:28.095 [main] INFO  mylog - 第16次取出的数据:justtest
23:53:28.095 [main] INFO  mylog - 第17次取出的数据:justtest
23:53:28.095 [main] INFO  mylog - 第18次取出的数据:justtest
23:53:28.095 [main] INFO  mylog - 第19次取出的数据:justtest
23:53:28.095 [main] INFO  mylog - 第20次取出的数据:justtest
23:53:28.095 [main] INFO  mylog - 第21次取出的数据:justtest
23:53:28.095 [main] INFO  mylog - 第22次取出的数据:justtest
23:53:28.095 [main] INFO  mylog - 第23次取出的数据:justtest
23:53:28.095 [main] INFO  mylog - 第24次取出的数据:justtest
23:53:28.095 [main] INFO  mylog - 第25次取出的数据:justtest
23:53:28.095 [main] INFO  mylog - 第26次取出的数据:justtest
23:53:28.095 [main] INFO  mylog - 第27次取出的数据:justtest
23:53:28.095 [main] INFO  mylog - 第28次取出的数据:justtest
23:53:28.096 [main] INFO  mylog - 第29次取出的数据:justtest
23:53:28.096 [main] INFO  mylog - 第30次取出的数据:justtest
23:53:28.096 [main] INFO  mylog - 第31次取出的数据:justtest
23:53:28.096 [main] INFO  mylog - 第32次取出的数据:justtest
23:53:28.096 [main] INFO  mylog - 第33次取出的数据:justtest
23:53:28.096 [main] INFO  mylog - 第34次取出的数据:justtest
23:53:28.096 [main] INFO  mylog - 第35次取出的数据:justtest
23:53:28.096 [main] INFO  mylog - 第36次取出的数据:justtest
23:53:28.096 [main] INFO  mylog - 第37次取出的数据:justtest
23:53:28.096 [main] INFO  mylog - 第38次取出的数据:justtest
23:53:28.096 [main] INFO  mylog - 第39次取出的数据:justtest
23:53:28.096 [main] INFO  mylog - 第40次取出的数据:justtest
23:53:28.096 [main] INFO  mylog - 第41次取出的数据:justtest
23:53:28.097 [main] INFO  mylog - 第42次取出的数据:justtest
23:53:28.097 [main] INFO  mylog - 第43次取出的数据:justtest
23:53:28.097 [main] INFO  mylog - 第44次取出的数据:justtest
23:53:28.097 [main] INFO  mylog - 第45次取出的数据:justtest
23:53:28.097 [main] INFO  mylog - 第46次取出的数据:justtest
23:53:28.097 [main] INFO  mylog - 第47次取出的数据:justtest
23:53:28.097 [main] INFO  mylog - 第48次取出的数据:justtest
23:53:28.097 [main] INFO  mylog - 第49次取出的数据:justtest
23:53:28.097 [main] INFO  mylog - 第50次取出的数据:justtest
23:53:28.097 [main] INFO  mylog - 第51次取出的数据:justtest
23:53:28.097 [main] INFO  mylog - 第52次取出的数据:justtest
23:53:28.097 [main] INFO  mylog - 第53次取出的数据:justtest
23:53:28.097 [main] INFO  mylog - 第54次取出的数据:justtest
23:53:28.097 [main] INFO  mylog - 第55次取出的数据:justtest
23:53:28.097 [main] INFO  mylog - 第56次取出的数据:justtest
23:53:28.097 [main] INFO  mylog - 第57次取出的数据:justtest
23:53:28.097 [main] INFO  mylog - 第58次取出的数据:justtest
23:53:28.098 [main] INFO  mylog - 第59次取出的数据:justtest
23:53:28.098 [main] INFO  mylog - 第60次取出的数据:justtest
23:53:28.098 [main] INFO  mylog - 第61次取出的数据:justtest
23:53:28.098 [main] INFO  mylog - 第62次取出的数据:justtest
23:53:28.098 [main] INFO  mylog - 第63次取出的数据:justtest
23:53:28.098 [main] INFO  mylog - 第64次取出的数据:justtest
23:53:28.098 [main] INFO  mylog - 第65次取出的数据:justtest
23:53:28.098 [main] INFO  mylog - 第66次取出的数据:justtest
23:53:28.098 [main] INFO  mylog - 第67次取出的数据:justtest
23:53:28.098 [main] INFO  mylog - 第68次取出的数据:justtest
23:53:28.098 [main] INFO  mylog - 第69次取出的数据:justtest
23:53:28.098 [main] INFO  mylog - 第70次取出的数据:justtest
23:53:28.098 [main] INFO  mylog - 第71次取出的数据:justtest
23:53:28.098 [main] INFO  mylog - 第72次取出的数据:justtest
23:53:28.098 [main] INFO  mylog - 第73次取出的数据:justtest
23:53:28.099 [main] INFO  mylog - 第74次取出的数据:justtest
